city,region,year,population
VITERBO,Central Italy,1550,NA
ACIREALE,Southern Italy,1550,0
ALTA MURA,Southern Italy,1550,0
BARI,Southern Italy,1550,8
CAGLIARI,Southern Italy,1550,0
CALTAGIRONE,Southern Italy,1550,10
CALTANISSETA,Southern Italy,1550,7
CASTEL VETRANO,Southern Italy,1550,7
CASTROGIOVANNI,Southern Italy,1550,15
CATANIA,Southern Italy,1550,22
FOGGIA,Southern Italy,1550,0
GIRGENTI,Southern Italy,1550,13
LECCE,Southern Italy,1550,26
MARSALA,Southern Italy,1550,0
MASCALI,Southern Italy,1550,0
MAZZARINO,Southern Italy,1550,0
MESSINA,Southern Italy,1550,NA
MODICA/POZZALLO,Southern Italy,1550,15
MONOPOLI,Southern Italy,1550,NA
NAPOLI,Southern Italy,1550,212
NICOSIA,Southern Italy,1550,17
NOTO,Southern Italy,1550,0
PALERMO,Southern Italy,1550,70
PIAZZA (ENNA),Southern Italy,1550,12
RAGUSA,Southern Italy,1550,0
REGGIO DI CALABRIA,Southern Italy,1550,NA
SASSARI,Southern Italy,1550,NA
SIRACUSA,Southern Italy,1550,12
TARANTO,Southern Italy,1550,21
TERMINI,Southern Italy,1550,NA
TRAPANI,Southern Italy,1550,16
ALCALA LA REAL,Spain,1550,NA
ALCAZAR DE SAN JUAN,Spain,1550,20
ALICANTE,Spain,1550,0
ANDUJAR,Spain,1550,NA
ANTEQUERA,Spain,1550,10
ARACENA,Spain,1550,6
AVILA,Spain,1550,16
BADAJOZ,Spain,1550,NA
BAEZA,Spain,1550,18
BARCELONA,Spain,1550,35
BILBAO,Spain,1550,0
BURGOS,Spain,1550,22
CADIZ,Spain,1550,0
CARTAGENA,Spain,1550,0
CORDOBA,Spain,1550,33
CUENCA,Spain,1550,14
ECIJA,Spain,1550,17
GRANADA,Spain,1550,NA
JAEN,Spain,1550,22
JEREZ DA LA FRONTERA,Spain,1550,18
LUCENA,Spain,1550,NA
MADRID,Spain,1550,30
MALAGA,Spain,1550,13
MEDINA DEL CAMPO,Spain,1550,16
MEDINA DE RIOSECO,Spain,1550,11
MORON DE LA FRONTERA,Spain,1550,NA
MURCIA,Spain,1550,13
OCANA,Spain,1550,NA
ORIHUELA,Spain,1550,NA
OSUNA,Spain,1550,NA
PALENCIA,Spain,1550,8
PALMA,Spain,1550,NA
RONDA,Spain,1550,8
SALAMANCA,Spain,1550,20
SANTIAGO,Spain,1550,1
SEGOVIA,Spain,1550,22
SEVILLA,Spain,1550,65
TOLEDO,Spain,1550,30
UBEDA,Spain,1550,13
UTRERA,Spain,1550,NA
VALENCIA,Spain,1550,37
VALLADOLID,Spain,1550,45
ZARAGOZA,Spain,1550,18
COIMBRA,Portugal,1550,0
ELVAS,Portugal,1550,NA
EVORA,Portugal,1550,NA
LISBOA,Portugal,1550,98
PORTO,Portugal,1550,13
BRNO (BRUNN),Austria and Czechoslovakia,1550,0
GRAZ,Austria and Czechoslovakia,1550,0
INNSBRUCK,Austria and Czechoslovakia,1550,5
KLAGENFURT,Austria and Czechoslovakia,1550,0
LINZ,Austria and Czechoslovakia,1550,0
PRAHA,Austria and Czechoslovakia,1550,NA
SALZBURG,Austria and Czechoslovakia,1550,NA
WIEN,Austria and Czechoslovakia,1550,NA
KRAKOW,Poland,1550,0
POZNAN,Poland,1550,0
WARSZAWA,Poland,1550,10
BERGEN,Scandinavia,1600,0
COPENHAGEN,Scandinavia,1600,NA
GOTEBORG,Scandinavia,1600,0
KARLSKRONA,Scandinavia,1600,0
OSLO,Scandinavia,1600,0
STOCKHOLM,Scandinavia,1600,NA
BATH,England and Wales,1600,0
BIRMINGHAM,England and Wales,1600,2
BLACKBURN,England and Wales,1600,0
BOLTON,England and Wales,1600,0
BRISTOL,England and Wales,1600,11
CAMBRIDGE,England and Wales,1600,0
CARLISLE,England and Wales,1600,0
CHATHAM,England and Wales,1600,1
CHESTER,England and Wales,1600,0
COLCHESTER,England and Wales,1600,0
COVENTRY,England and Wales,1600,7
DERBY,England and Wales,1600,0
EXETER,England and Wales,1600,10
GREENWICH,England and Wales,1600,0
HUDDERSFIELD,England and Wales,1600,0
HULL,England and Wales,1600,0
IPSWICH,England and Wales,1600,0
KING'S LYNN,England and Wales,1600,0
LEEDS,England and Wales,1600,0
LEICESTER,England and Wales,1600,5
LIVERPOOL,England and Wales,1600,0
LONDON,England and Wales,1600,200
MANCHESTER,England and Wales,1600,0
NEWCASTLE,England and Wales,1600,10
NORWICH,England and Wales,1600,12
NOTTINGHAM,England and Wales,1600,5
OLDHAM,England and Wales,1600,0
OXFORD,England and Wales,1600,0
PLYMOUTH,England and Wales,1600,7
PORTSMOUTH,England and Wales,1600,0
PRESTON,England and Wales,1600,0
READING,England and Wales,1600,0
SALFORD,England and Wales,1600,0
SHEFFIELD,England and Wales,1600,2
SHREWSBURY,England and Wales,1600,0
STOCKPORT,England and Wales,1600,0
SUNDERLAND,England and Wales,1600,0
WARRINGTON,England and Wales,1600,0
WENLOCK,England and Wales,1600,0
WIGAN,England and Wales,1600,0
WOLVERHAMPTON,England and Wales,1600,0
WORCESTER,England and Wales,1600,6
YARMOUTH,England and Wales,1600,0
YORK,England and Wales,1600,12
ABERDEEN,Scotland,1600,7
DUNDEE,Scotland,1600,7
EDINBURGH,Scotland,1600,30
GLASGOW,Scotland,1600,2
GREENOCK,Scotland,1600,0
INVERNESS,Scotland,1600,0
PAISLEY,Scotland,1600,0
PERTH,Scotland,1600,5
BELFAST,Ireland,1600,0
CORK,Ireland,1600,2
DUBLIN,Ireland,1600,5
GALWAY,Ireland,1600,4
KILKENNY,Ireland,1600,0
LIMERICK,Ireland,1600,3
NEWRY,Ireland,1600,0
WATERFORD,Ireland,1600,2
ALKMAAR,The Netherlands,1600,11
AMSTERDAM,The Netherlands,1600,65
ARNHEM,The Netherlands,1600,7
DELFT,The Netherlands,1600,20
DORDRECHT,The Netherlands,1600,15
ENKHUIZEN,The Netherlands,1600,17
GOUDA,The Netherlands,1600,13
GRONINGEN,The Netherlands,1600,19
HAARLEM,The Netherlands,1600,30
DEN HAAG,The Netherlands,1600,10
'S HERTOGENBOSCH,The Netherlands,1600,18
HOORN,The Netherlands,1600,12
LEEUWARDEN,The Netherlands,1600,11
LEIDEN,The Netherlands,1600,25
MAASTRICHT,The Netherlands,1600,12
MIDDELBURG,The Netherlands,1600,20
NIJMEGEN,The Netherlands,1600,12
ROTTERDAM,The Netherlands,1600,13
UTRECHT,The Netherlands,1600,25
ZAANDAM,The Netherlands,1600,16
ZWOLLE,The Netherlands,1600,0
AALST,Belgium,1600,7
ANTWERPEN,Belgium,1600,47
BRUGGE,Belgium,1600,27
BRUSSELS,Belgium,1600,50
DUNKERQUE,Belgium,1600,NA
GENT,Belgium,1600,31
IEPER,Belgium,1600,NA
KORTRIJK,Belgium,1600,0
LEUVEN,Belgium,1600,9
LIEGE,Belgium,1600,NA
LIER,Belgium,1600,0
LILLE,Belgium,1600,33
LOKEREN,Belgium,1600,0
MECHELEN,Belgium,1600,11
MONS,Belgium,1600,NA
NAMUR,Belgium,1600,NA
OOSTENDE,Belgium,1600,0
SINT NIKLAAS,Belgium,1600,2
TOURNAI,Belgium,1600,20
VALENCIENNES,Belgium,1600,15
AACHEN,Germany,1600,NA
ALTONA,Germany,1600,2
ANSBACH,Germany,1600,0
AUGSBURG,Germany,1600,48
BAMBERG,Germany,1600,12
BARMEN,Germany,1600,0
BAUTZEN,Germany,1600,0
BERLIN,Germany,1600,25
BONN,Germany,1600,0
BRANDENBURG,Germany,1600,0
BRAUNSCHWEIG,Germany,1600,16
BREMEN,Germany,1600,NA
BRESLAU (WROCLAW),Germany,1600,30
CHEMNITZ (K-MARX-ST),Germany,1600,5
DANZIG (GDANSK),Germany,1600,50
DRESDEN,Germany,1600,12
DUSSELDORF,Germany,1600,6
ELBERFELD,Germany,1600,0
ELBING (ELBLAG),Germany,1600,15
EMDEN,Germany,1600,NA
ERFURT,Germany,1600,19
FLENSBURG,Germany,1600,0
FRANKFURT AM,Germany,1600,18
FRANKFURT AO,Germany,1600,13
FREIBURG,Germany,1600,10
FURTH,Germany,1600,0
GOTHA,Germany,1600,0
HALBERSTADT,Germany,1600,0
HALLE,Germany,1600,NA
HAMBURG,Germany,1600,40
HANAU,Germany,1600,0
HANNOVER,Germany,1600,7
HEIDELBERG,Germany,1600,0
HILDESHEIM,Germany,1600,0
KASSEL,Germany,1600,6
KOLN,Germany,1600,40
KONIGSBERG,Germany,1600,NA
LEIPZIG,Germany,1600,14
LUBECK,Germany,1600,23
LUNEBURG,Germany,1600,0
MAGDEBURG,Germany,1600,40
MAINZ,Germany,1600,20
MANNHEIM,Germany,1600,0
MUNCHEN,Germany,1600,20
MUNSTER,Germany,1600,11
NURNBERG,Germany,1600,40
POTSDAM,Germany,1600,0
QUEDLINBURG,Germany,1600,0
REGENSBURG,Germany,1600,NA
ROSTOCK,Germany,1600,0
SOEST,Germany,1600,10
STETTIN (SZCZECIN),Germany,1600,12
STRALSUND,Germany,1600,0
STUTTGART,Germany,1600,9
ULM,Germany,1600,21
WURZBURG,Germany,1600,10
ABBEVILLE,France,1600,NA
AGEN,France,1600,NA
AIX EN PROVENCE,France,1600,NA
ALBI,France,1600,0
ALENCON,France,1600,NA
AMIENS,France,1600,NA
ANGERS,France,1600,25
ANGOULEME,France,1600,0
ARLES,France,1600,15
ARRAS,France,1600,NA
AUXERRE,France,1600,0
AVIGNON,France,1600,NA
BAYEUX,France,1600,6
BAYONNE,France,1600,0
BEAUVAIS,France,1600,NA
BESANCON,France,1600,11
BEZIERS,France,1600,NA
BLOIS,France,1600,NA
BORDEAUX,France,1600,40
BOULOGNE,France,1600,0
BOURGES,France,1600,NA
BREST,France,1600,0
CAEN,France,1600,NA
CAHORS,France,1600,0
CAMBRA!,France,1600,12
CARCASSONNE,France,1600,NA
CASTRES,France,1600,0
CHALONS-SUR-MARNE,France,1600,NA
CHALONS-SUR-SAONE,France,1600,0
CHARTRES,France,1600,NA
CHERBOURG,France,1600,0
CLERMONT-FERRAND,France,1600,0
COLMAR,France,1600,0
DIEPPE,France,1600,NA
DIJON,France,1600,NA
DOUAI,France,1600,NA
FALAISE,France,1600,0
GRENOBLE,France,1600,NA
LA ROCHELLE,France,1600,23
LAVAL,France,1600,NA
LE HAVRE,France,1600,0
LE MANS,France,1600,NA
LE PUY,France,1600,0
LIMOGES,France,1600,NA
LISIEUX,France,1600,0
LORIENT,France,1600,0
LYON,France,1600,40
MACON,France,1600,0
MARSEILLE,France,1600,40
METZ,France,1600,19
MONTAUBAN,France,1600,NA
MONTPELLIER,France,1600,NA
MOULINS,France,1600,NA
NANCY,France,1600,8
NANTES,France,1600,25
NEVERS,France,1600,0
NIMES,France,1600,10
NIORT,France,1600,0
ORLEANS,France,1600,NA
PARIS,France,1600,220
PERPIGNAN,France,1600,0
POITIERS,France,1600,NA
REIMS,France,1600,NA
RENNES,France,1600,22
RIOM,France,1600,0
ROCHEFORT,France,1600,0
ROUEN,France,1600,60
SAINT-ETIENNE,France,1600,0
SAINT-MALO,France,1600,10
SAINT-OMER,France,1600,0
SAINT-QUENTIN,France,1600,0
STRASBOURG,France,1600,28
TOULON,France,1600,10
TOULOUSE,France,1600,NA
TOURS,France,1600,NA
TROYES,France,1600,NA
VERSAILLES,France,1600,0
VIENNE,France,1600,0
BASEL,Switzerland,1600,10
BERN,Switzerland,1600,0
GENEVE,Switzerland,1600,15
ZURICH,Switzerland,1600,7
ALESSANDRIA,Northern Italy,1600,14
ASTI,Northern Italy,1600,10
BERGAMO,Northern Italy,1600,23
BRESCIA,Northern Italy,1600,42
CHIOGGIA,Northern Italy,1600,9
COMO,Northern Italy,1600,12
CREMA,Northern Italy,1600,14
CREMONA,Northern Italy,1600,37
CUNEO,Northern Italy,1600,11
FOSSANO,Northern Italy,1600,10
GENOA,Northern Italy,1600,71
LODI,Northern Italy,1600,14
MANTUA,Northern Italy,1600,31
MILANO,Northern Italy,1600,120
MODENA,Northern Italy,1600,21
MONDOVI,Northern Italy,1600,11
MONZA,Northern Italy,1600,12
NICE,Northern Italy,1600,16
NOVARA,Northern Italy,1600,0
PADOVA,Northern Italy,1600,36
PARMA,Northern Italy,1600,33
PAVIA,Northern Italy,1600,18
PIACENZA,Northern Italy,1600,33
REGGIO,Northern Italy,1600,11
SAVIGLIANO,Northern Italy,1600,10
TREVISO,Northern Italy,1600,14
TRIESTE,Northern Italy,1600,NA
TORINO,Northern Italy,1600,24
UDINE,Northern Italy,1600,14
VENEZIA,Northern Italy,1600,139
VERCELLI,Northern Italy,1600,10
VERONA,Northern Italy,1600,49
VICENZA,Northern Italy,1600,37
VIGEVANO,Northern Italy,1600,8
ANCONA,Central Italy,1600,0
BOLOGNA,Central Italy,1600,63
FERRARA,Central Italy,1600,33
FIRENZE,Central Italy,1600,70
LIVORNO,Central Italy,1600,4
LUCCA,Central Italy,1600,24
PERUGIA,Central Italy,1600,20
PISA,Central Italy,1600,15
ROMA,Central Italy,1600,105
SIENA,Central Italy,1600,19
VITERBO,Central Italy,1600,NA
ACIREALE,Southern Italy,1600,14
ALTA MURA,Southern Italy,1600,NA
BARI,Southern Italy,1600,15
CAGLIARI,Southern Italy,1600,0
CALTAGIRONE,Southern Italy,1600,13
CALTANISSETA,Southern Italy,1600,10
CASTEL VETRANO,Southern Italy,1600,13
CASTROGIOVANNI,Southern Italy,1600,14
CATANIA,Southern Italy,1600,28
FOGGIA,Southern Italy,1600,0
GIRGENTI,Southern Italy,1600,10
LECCE,Southern Italy,1600,32
MARSALA,Southern Italy,1600,9
MASCALI,Southern Italy,1600,0
MAZZARINO,Southern Italy,1600,0
MESSINA,Southern Italy,1600,50
MODICA/POZZALLO,Southern Italy,1600,18
MONOPOLI,Southern Italy,1600,NA
NAPOLI,Southern Italy,1600,281
NICOSIA,Southern Italy,1600,21
NOTO,Southern Italy,1600,8
PALERMO,Southern Italy,1600,105
PIAZZA (ENNA),Southern Italy,1600,20
RAGUSA,Southern Italy,1600,9
REGGIO DI CALABRIA,Southern Italy,1600,NA
SASSARI,Southern Italy,1600,14
SIRACUSA,Southern Italy,1600,12
TARANTO,Southern Italy,1600,17
TERMINI,Southern Italy,1600,10
TRAPANI,Southern Italy,1600,17
ALCALA LA REAL,Spain,1600,10
ALCAZAR DE SAN JUAN,Spain,1600,10
ALICANTE,Spain,1600,11
ANDUJAR,Spain,1600,12
ANTEQUERA,Spain,1600,16
ARACENA,Spain,1600,10
AVILA,Spain,1600,14
BADAJOZ,Spain,1600,11
BAEZA,Spain,1600,21
BARCELONA,Spain,1600,43
BILBAO,Spain,1600,0
BURGOS,Spain,1600,13
CADIZ,Spain,1600,5
CARTAGENA,Spain,1600,8
CORDOBA,Spain,1600,45
CUENCA,Spain,1600,25
ECIJA,Spain,1600,22
GRANADA,Spain,1600,69
JAEN,Spain,1600,22
JEREZ DA LA FRONTERA,Spain,1600,27
LUCENA,Spain,1600,18
MADRID,Spain,1600,49
MALAGA,Spain,1600,13
MEDINA DEL CAMPO,Spain,1600,14
MEDINA DE RIOSECO,Spain,1600,10
MORON DE LA FRONTERA,Spain,1600,8
MURCIA,Spain,1600,17
OCANA,Spain,1600,13
ORIHUELA,Spain,1600,10
OSUNA,Spain,1600,10
PALENCIA,Spain,1600,12
PALMA,Spain,1600,23
RONDA,Spain,1600,8
SALAMANCA,Spain,1600,25
SANTIAGO,Spain,1600,1
SEGOVIA,Spain,1600,28
SEVILLA,Spain,1600,90
TOLEDO,Spain,1600,50
UBEDA,Spain,1600,19
UTRERA,Spain,1600,11
VALENCIA,Spain,1600,65
VALLADOLID,Spain,1600,40
ZARAGOZA,Spain,1600,25
COIMBRA,Portugal,1600,NA
ELVAS,Portugal,1600,NA
EVORA,Portugal,1600,NA
LISBOA,Portugal,1600,100
PORTO,Portugal,1600,15
BRNO (BRUNN),Austria and Czechoslovakia,1600,0
GRAZ,Austria and Czechoslovakia,1600,8
INNSBRUCK,Austria and Czechoslovakia,1600,5
KLAGENFURT,Austria and Czechoslovakia,1600,4
LINZ,Austria and Czechoslovakia,1600,3
PRAHA,Austria and Czechoslovakia,1600,NA
SALZBURG,Austria and Czechoslovakia,1600,10
WIEN,Austria and Czechoslovakia,1600,50
KRAKOW,Poland,1600,0
POZNAN,Poland,1600,0
WARSZAWA,Poland,1600,15
BERGEN,Scandinavia,1650,NA
COPENHAGEN,Scandinavia,1650,23
GOTEBORG,Scandinavia,1650,4
KARLSKRONA,Scandinavia,1650,0
OSLO,Scandinavia,1650,0
STOCKHOLM,Scandinavia,1650,40
BATH,England and Wales,1650,1
BIRMINGHAM,England and Wales,1650,4
BLACKBURN,England and Wales,1650,0
BOLTON,England and Wales,1650,0
BRISTOL,England and Wales,1650,20
CAMBRIDGE,England and Wales,1650,9
CARLISLE,England and Wales,1650,0
CHATHAM,England and Wales,1650,0
CHESTER,England and Wales,1650,8
COLCHESTER,England and Wales,1650,10
COVENTRY,England and Wales,1650,7
DERBY,England and Wales,1650,0
EXETER,England and Wales,1650,10
GREENWICH,England and Wales,1650,0
HUDDERSFIELD,England and Wales,1650,0
HULL,England and Wales,1650,0
IPSWICH,England and Wales,1650,NA
KING'S LYNN,England and Wales,1650,5
LEEDS,England and Wales,1650,5
LEICESTER,England and Wales,1650,5
LIVERPOOL,England and Wales,1650,0
LONDON,England and Wales,1650,400
MANCHESTER,England and Wales,1650,5
NEWCASTLE,England and Wales,1650,13
NORWICH,England and Wales,1650,20
NOTTINGHAM,England and Wales,1650,6
OLDHAM,England and Wales,1650,0
OXFORD,England and Wales,1650,9
PLYMOUTH,England and Wales,1650,7
PORTSMOUTH,England and Wales,1650,4
PRESTON,England and Wales,1650,0
READING,England and Wales,1650,0
SALFORD,England and Wales,1650,0
SHEFFIELD,England and Wales,1650,0
SHREWSBURY,England and Wales,1650,0
STOCKPORT,England and Wales,1650,0
SUNDERLAND,England and Wales,1650,0
WARRINGTON,England and Wales,1650,0
WENLOCK,England and Wales,1650,0
WIGAN,England and Wales,1650,0
WOLVERHAMPTON,England and Wales,1650,4
WORCESTER,England and Wales,1650,8
YARMOUTH,England and Wales,1650,10
YORK,England and Wales,1650,12
ABERDEEN,Scotland,1650,0
DUNDEE,Scotland,1650,NA
EDINBURGH,Scotland,1650,35
GLASGOW,Scotland,1650,NA
GREENOCK,Scotland,1650,0
INVERNESS,Scotland,1650,0
PAISLEY,Scotland,1650,0
PERTH,Scotland,1650,0
BELFAST,Ireland,1650,0
CORK,Ireland,1650,2
DUBLIN,Ireland,1650,17
GALWAY,Ireland,1650,0
KILKENNY,Ireland,1650,0
LIMERICK,Ireland,1650,0
NEWRY,Ireland,1650,0
WATERFORD,Ireland,1650,0
ALKMAAR,The Netherlands,1650,15
AMSTERDAM,The Netherlands,1650,175
ARNHEM,The Netherlands,1650,7
DELFT,The Netherlands,1650,24
DORDRECHT,The Netherlands,1650,20
ENKHUIZEN,The Netherlands,1650,22
GOUDA,The Netherlands,1650,15
GRONINGEN,The Netherlands,1650,20
HAARLEM,The Netherlands,1650,38
DEN HAAG,The Netherlands,1650,18
'S HERTOGENBOSCH,The Netherlands,1650,15
HOORN,The Netherlands,1650,16
LEEUWARDEN,The Netherlands,1650,15
LEIDEN,The Netherlands,1650,67
MAASTRICHT,The Netherlands,1650,18
MIDDELBURG,The Netherlands,1650,30
NIJMEGEN,The Netherlands,1650,11
ROTTERDAM,The Netherlands,1650,30
UTRECHT,The Netherlands,1650,30
ZAANDAM,The Netherlands,1650,24
ZWOLLE,The Netherlands,1650,0
AALST,Belgium,1650,7
ANTWERPEN,Belgium,1650,70
BRUGGE,Belgium,1650,34
BRUSSELS,Belgium,1650,69
DUNKERQUE,Belgium,1650,NA
GENT,Belgium,1650,46
IEPER,Belgium,1650,13
KORTRIJK,Belgium,1650,NA
LEUVEN,Belgium,1650,13
LIEGE,Belgium,1650,35
LIER,Belgium,1650,0
LILLE,Belgium,1650,40
LOKEREN,Belgium,1650,0
MECHELEN,Belgium,1650,20
MONS,Belgium,1650,13
NAMUR,Belgium,1650,11
OOSTENDE,Belgium,1650,0
SINT NIKLAAS,Belgium,1650,4
TOURNAI,Belgium,1650,20
VALENCIENNES,Belgium,1650,18
AACHEN,Germany,1650,12
ALTONA,Germany,1650,3
ANSBACH,Germany,1650,0
AUGSBURG,Germany,1650,21
BAMBERG,Germany,1650,7
BARMEN,Germany,1650,2
BAUTZEN,Germany,1650,0
BERLIN,Germany,1650,12
BONN,Germany,1650,0
BRANDENBURG,Germany,1650,0
BRAUNSCHWEIG,Germany,1650,16
BREMEN,Germany,1650,NA
BRESLAU (WROCLAW),Germany,1650,NA
CHEMNITZ (K-MARX-ST),Germany,1650,0
DANZIG (GDANSK),Germany,1650,70
DRESDEN,Germany,1650,15
DUSSELDORF,Germany,1650,5
ELBERFELD,Germany,1650,2
ELBING (ELBLAG),Germany,1650,10
EMDEN,Germany,1650,14
ERFURT,Germany,1650,15
FLENSBURG,Germany,1650,0
FRANKFURT AM,Germany,1650,17
FRANKFURT AO,Germany,1650,2
FREIBURG,Germany,1650,6
FURTH,Germany,1650,0
GOTHA,Germany,1650,0
HALBERSTADT,Germany,1650,0
HALLE,Germany,1650,NA
HAMBURG,Germany,1650,75
HANAU,Germany,1650,0
HANNOVER,Germany,1650,9
HEIDELBERG,Germany,1650,4
HILDESHEIM,Germany,1650,0
KASSEL,Germany,1650,0
KOLN,Germany,1650,45
KONIGSBERG,Germany,1650,NA
LEIPZIG,Germany,1650,11
LUBECK,Germany,1650,31
LUNEBURG,Germany,1650,0
MAGDEBURG,Germany,1650,5
MAINZ,Germany,1650,10
MANNHEIM,Germany,1650,NA
MUNCHEN,Germany,1650,10
MUNSTER,Germany,1650,0
NURNBERG,Germany,1650,25
POTSDAM,Germany,1650,0
QUEDLINBURG,Germany,1650,0
REGENSBURG,Germany,1650,NA
ROSTOCK,Germany,1650,0
SOEST,Germany,1650,5
STETTIN (SZCZECIN),Germany,1650,6
STRALSUND,Germany,1650,0
STUTTGART,Germany,1650,5
ULM,Germany,1650,14
WURZBURG,Germany,1650,11
ABBEVILLE,France,1650,NA
AGEN,France,1650,NA
AIX EN PROVENCE,France,1650,NA
ALBI,France,1650,NA
ALENCON,France,1650,NA
AMIENS,France,1650,27
ANGERS,France,1650,32
ANGOULEME,France,1650,0
ARLES,France,1650,25
ARRAS,France,1650,NA
AUXERRE,France,1650,0
AVIGNON,France,1650,NA
BAYEUX,France,1650,8
BAYONNE,France,1650,0
BEAUVAIS,France,1650,NA
BESANCON,France,1650,13
BEZIERS,France,1650,NA
BLOIS,France,1650,NA
BORDEAUX,France,1650,40
BOULOGNE,France,1650,0
BOURGES,France,1650,NA
BREST,France,1650,0
CAEN,France,1650,NA
CAHORS,France,1650,0
CAMBRA!,France,1650,12
CARCASSONNE,France,1650,NA
CASTRES,France,1650,0
CHALONS-SUR-MARNE,France,1650,NA
CHALONS-SUR-SAONE,France,1650,0
