city,region,year,population
ZWOLLE,The Netherlands,1750,12
AALST,Belgium,1750,8
ANTWERPEN,Belgium,1750,46
BRUGGE,Belgium,1750,28
BRUSSELS,Belgium,1750,60
DUNKERQUE,Belgium,1750,15
GENT,Belgium,1750,40
IEPER,Belgium,1750,11
KORTRIJK,Belgium,1750,12
LEUVEN,Belgium,1750,15
LIEGE,Belgium,1750,57
LIER,Belgium,1750,6
LILLE,Belgium,1750,63
LOKEREN,Belgium,1750,0
MECHELEN,Belgium,1750,18
MONS,Belgium,1750,17
NAMUR,Belgium,1750,NA
OOSTENDE,Belgium,1750,0
SINT NIKLAAS,Belgium,1750,8
TOURNAI,Belgium,1750,21
VALENCIENNES,Belgium,1750,16
AACHEN,Germany,1750,NA
ALTONA,Germany,1750,15
ANSBACH,Germany,1750,6
AUGSBURG,Germany,1750,NA
BAMBERG,Germany,1750,12
BARMEN,Germany,1750,4
BAUTZEN,Germany,1750,8
BERLIN,Germany,1750,90
BONN,Germany,1750,0
BRANDENBURG,Germany,1750,0
BRAUNSCHWEIG,Germany,1750,21
BREMEN,Germany,1750,28
BRESLAU (WROCLAW),Germany,1750,55
CHEMNITZ (K-MARX-ST),Germany,1750,11
DANZIG (GDANSK),Germany,1750,46
DRESDEN,Germany,1750,52
DUSSELDORF,Germany,1750,NA
ELBERFELD,Germany,1750,0
ELBING (ELBLAG),Germany,1750,16
EMDEN,Germany,1750,8
ERFURT,Germany,1750,17
FLENSBURG,Germany,1750,NA
FRANKFURT AM,Germany,1750,32
FRANKFURT AO,Germany,1750,9
FREIBURG,Germany,1750,0
FURTH,Germany,1750,0
GOTHA,Germany,1750,NA
HALBERSTADT,Germany,1750,NA
HALLE,Germany,1750,NA
HAMBURG,Germany,1750,75
HANAU,Germany,1750,11
HANNOVER,Germany,1750,17
HEIDELBERG,Germany,1750,10
HILDESHEIM,Germany,1750,0
KASSEL,Germany,1750,19
KOLN,Germany,1750,43
KONIGSBERG,Germany,1750,60
LEIPZIG,Germany,1750,35
LUBECK,Germany,1750,NA
LUNEBURG,Germany,1750,0
MAGDEBURG,Germany,1750,18
MAINZ,Germany,1750,24
MANNHEIM,Germany,1750,20
MUNCHEN,Germany,1750,32
MUNSTER,Germany,1750,9
NURNBERG,Germany,1750,30
POTSDAM,Germany,1750,15
QUEDLINBURG,Germany,1750,0
REGENSBURG,Germany,1750,NA
ROSTOCK,Germany,1750,0
SOEST,Germany,1750,5
STETTIN (SZCZECIN),Germany,1750,12
STRALSUND,Germany,1750,NA
STUTTGART,Germany,1750,17
ULM,Germany,1750,15
WURZBURG,Germany,1750,15
ABBEVILLE,France,1750,15
AGEN,France,1750,10
AIX EN PROVENCE,France,1750,25
ALBI,France,1750,8
ALENCON,France,1750,12
AMIENS,France,1750,33
ANGERS,France,1750,23
ANGOULEME,France,1750,0
ARLES,France,1750,23
ARRAS,France,1750,17
AUXERRE,France,1750,0
AVIGNON,France,1750,22
BAYEUX,France,1750,8
BAYONNE,France,1750,0
BEAUVAIS,France,1750,12
BESANCON,France,1750,21
BEZIERS,France,1750,13
BLOIS,France,1750,11
BORDEAUX,France,1750,67
BOULOGNE,France,1750,NA
BOURGES,France,1750,25
BREST,France,1750,20
CAEN,France,1750,35
CAHORS,France,1750,0
CAMBRA!,France,1750,12
CARCASSONNE,France,1750,12
CASTRES,France,1750,9
CHALONS-SUR-MARNE,France,1750,15
CHALONS-SUR-SAONE,France,1750,0
CHARTRES,France,1750,10
CHERBOURG,France,1750,5
CLERMONT-FERRAND,France,1750,24
COLMAR,France,1750,0
DIEPPE,France,1750,18
DIJON,France,1750,22
DOUAI,France,1750,21
FALAISE,France,1750,0
GRENOBLE,France,1750,24
LA ROCHELLE,France,1750,16
LAVAL,France,1750,10
LE HAVRE,France,1750,14
LE MANS,France,1750,16
LE PUY,France,1750,10
LIMOGES,France,1750,18
LISIEUX,France,1750,0
LORIENT,France,1750,0
LYON,France,1750,114
MACON,France,1750,0
MARSEILLE,France,1750,68
METZ,France,1750,29
MONTAUBAN,France,1750,16
MONTPELLIER,France,1750,35
MOULINS,France,1750,11
NANCY,France,1750,22
NANTES,France,1750,57
NEVERS,France,1750,0
NIMES,France,1750,30
NIORT,France,1750,0
ORLEANS,France,1750,37
PARIS,France,1750,576
PERPIGNAN,France,1750,0
POITIERS,France,1750,18
REIMS,France,1750,30
RENNES,France,1750,30
RIOM,France,1750,0
ROCHEFORT,France,1750,0
ROUEN,France,1750,67
SAINT-ETIENNE,France,1750,NA
SAINT-MALO,France,1750,15
SAINT-OMER,France,1750,NA
SAINT-QUENTIN,France,1750,0
STRASBOURG,France,1750,40
TOULON,France,1750,26
TOULOUSE,France,1750,45
TOURS,France,1750,22
TROYES,France,1750,18
VERSAILLES,France,1750,30
VIENNE,France,1750,0
BASEL,Switzerland,1750,14
BERN,Switzerland,1750,11
GENEVE,Switzerland,1750,23
ZURICH,Switzerland,1750,12
ALESSANDRIA,Northern Italy,1750,12
ASTI,Northern Italy,1750,13
BERGAMO,Northern Italy,1750,29
BRESCIA,Northern Italy,1750,29
CHIOGGIA,Northern Italy,1750,19
COMO,Northern Italy,1750,14
CREMA,Northern Italy,1750,9
CREMONA,Northern Italy,1750,24
CUNEO,Northern Italy,1750,13
FOSSANO,Northern Italy,1750,12
GENOA,Northern Italy,1750,87
LODI,Northern Italy,1750,14
MANTUA,Northern Italy,1750,24
MILANO,Northern Italy,1750,124
MODENA,Northern Italy,1750,18
MONDOVI,Northern Italy,1750,7
MONZA,Northern Italy,1750,NA
NICE,Northern Italy,1750,16
NOVARA,Northern Italy,1750,9
PADOVA,Northern Italy,1750,31
PARMA,Northern Italy,1750,35
PAVIA,Northern Italy,1750,24
PIACENZA,Northern Italy,1750,31
REGGIO,Northern Italy,1750,16
SAVIGLIANO,Northern Italy,1750,11
TREVISO,Northern Italy,1750,10
TRIESTE,Northern Italy,1750,NA
TORINO,Northern Italy,1750,57
UDINE,Northern Italy,1750,14
VENEZIA,Northern Italy,1750,149
VERCELLI,Northern Italy,1750,8
VERONA,Northern Italy,1750,43
VICENZA,Northern Italy,1750,28
VIGEVANO,Northern Italy,1750,9
ANCONA,Central Italy,1750,10
BOLOGNA,Central Italy,1750,69
FERRARA,Central Italy,1750,30
FIRENZE,Central Italy,1750,74
LIVORNO,Central Italy,1750,32
LUCCA,Central Italy,1750,21
PERUGIA,Central Italy,1750,14
PISA,Central Italy,1750,14
ROMA,Central Italy,1750,156
SIENA,Central Italy,1750,15
VITERBO,Central Italy,1750,13
ACIREALE,Southern Italy,1750,13
ALTA MURA,Southern Italy,1750,NA
BARI,Southern Italy,1750,18
CAGLIARI,Southern Italy,1750,19
CALTAGIRONE,Southern Italy,1750,17
CALTANISSETA,Southern Italy,1750,15
CASTEL VETRANO,Southern Italy,1750,8
CASTROGIOVANNI,Southern Italy,1750,10
CATANIA,Southern Italy,1750,26
FOGGIA,Southern Italy,1750,NA
GIRGENTI,Southern Italy,1750,18
LECCE,Southern Italy,1750,NA
MARSALA,Southern Italy,1750,15
MASCALI,Southern Italy,1750,11
MAZZARINO,Southern Italy,1750,11
MESSINA,Southern Italy,1750,37
MODICA/POZZALLO,Southern Italy,1750,20
MONOPOLI,Southern Italy,1750,NA
NAPOLI,Southern Italy,1750,305
NICOSIA,Southern Italy,1750,12
NOTO,Southern Italy,1750,11
PALERMO,Southern Italy,1750,118
PIAZZA (ENNA),Southern Italy,1750,12
RAGUSA,Southern Italy,1750,12
REGGIO DI CALABRIA,Southern Italy,1750,NA
SASSARI,Southern Italy,1750,15
SIRACUSA,Southern Italy,1750,18
TARANTO,Southern Italy,1750,NA
TERMINI,Southern Italy,1750,10
TRAPANI,Southern Italy,1750,17
ALCALA LA REAL,Spain,1750,NA
ALCAZAR DE SAN JUAN,Spain,1750,NA
ALICANTE,Spain,1750,0
ANDUJAR,Spain,1750,NA
ANTEQUERA,Spain,1750,NA
ARACENA,Spain,1750,NA
AVILA,Spain,1750,0
BADAJOZ,Spain,1750,NA
BAEZA,Spain,1750,NA
BARCELONA,Spain,1750,50
BILBAO,Spain,1750,7
BURGOS,Spain,1750,0
CADIZ,Spain,1750,60
CARTAGENA,Spain,1750,NA
CORDOBA,Spain,1750,NA
CUENCA,Spain,1750,0
ECIJA,Spain,1750,NA
GRANADA,Spain,1750,NA
JAEN,Spain,1750,22
JEREZ DA LA FRONTERA,Spain,1750,NA
LUCENA,Spain,1750,NA
MADRID,Spain,1750,109
MALAGA,Spain,1750,32
MEDINA DEL CAMPO,Spain,1750,0
MEDINA DE RIOSECO,Spain,1750,0
MORON DE LA FRONTERA,Spain,1750,0
MURCIA,Spain,1750,32
OCANA,Spain,1750,0
ORIHUELA,Spain,1750,NA
OSUNA,Spain,1750,NA
PALENCIA,Spain,1750,0
PALMA,Spain,1750,NA
RONDA,Spain,1750,NA
SALAMANCA,Spain,1750,NA
SANTIAGO,Spain,1750,NA
SEGOVIA,Spain,1750,0
SEVILLA,Spain,1750,66
TOLEDO,Spain,1750,NA
UBEDA,Spain,1750,NA
UTRERA,Spain,1750,NA
VALENCIA,Spain,1750,NA
VALLADOLID,Spain,1750,19
ZARAGOZA,Spain,1750,NA
COIMBRA,Portugal,1750,12
ELVAS,Portugal,1750,NA
EVORA,Portugal,1750,15
LISBOA,Portugal,1750,148
PORTO,Portugal,1750,21
BRNO (BRUNN),Austria and Czechoslovakia,1750,15
GRAZ,Austria and Czechoslovakia,1750,20
INNSBRUCK,Austria and Czechoslovakia,1750,8
KLAGENFURT,Austria and Czechoslovakia,1750,7
LINZ,Austria and Czechoslovakia,1750,10
PRAHA,Austria and Czechoslovakia,1750,59
SALZBURG,Austria and Czechoslovakia,1750,15
WIEN,Austria and Czechoslovakia,1750,175
KRAKOW,Poland,1750,NA
POZNAN,Poland,1750,0
WARSZAWA,Poland,1750,23
BERGEN,Scandinavia,1800,17
COPENHAGEN,Scandinavia,1800,101
GOTEBORG,Scandinavia,1800,13
KARLSKRONA,Scandinavia,1800,10
OSLO,Scandinavia,1800,12
STOCKHOLM,Scandinavia,1800,75
BATH,England and Wales,1800,32
BIRMINGHAM,England and Wales,1800,69
BLACKBURN,England and Wales,1800,12
BOLTON,England and Wales,1800,13
BRISTOL,England and Wales,1800,64
CAMBRIDGE,England and Wales,1800,10
CARLISLE,England and Wales,1800,10
CHATHAM,England and Wales,1800,11
CHESTER,England and Wales,1800,15
COLCHESTER,England and Wales,1800,12
COVENTRY,England and Wales,1800,16
DERBY,England and Wales,1800,11
EXETER,England and Wales,1800,17
GREENWICH,England and Wales,1800,14
HUDDERSFIELD,England and Wales,1800,11
HULL,England and Wales,1800,28
IPSWICH,England and Wales,1800,11
KING'S LYNN,England and Wales,1800,10
LEEDS,England and Wales,1800,53
LEICESTER,England and Wales,1800,17
LIVERPOOL,England and Wales,1800,78
LONDON,England and Wales,1800,865
MANCHESTER,England and Wales,1800,70
NEWCASTLE,England and Wales,1800,28
NORWICH,England and Wales,1800,37
NOTTINGHAM,England and Wales,1800,29
OLDHAM,England and Wales,1800,12
OXFORD,England and Wales,1800,12
PLYMOUTH,England and Wales,1800,43
PORTSMOUTH,England and Wales,1800,32
PRESTON,England and Wales,1800,12
READING,England and Wales,1800,10
SALFORD,England and Wales,1800,14
SHEFFIELD,England and Wales,1800,46
SHREWSBURY,England and Wales,1800,15
STOCKPORT,England and Wales,1800,15
SUNDERLAND,England and Wales,1800,24
WARRINGTON,England and Wales,1800,11
WENLOCK,England and Wales,1800,15
WIGAN,England and Wales,1800,11
WOLVERHAMPTON,England and Wales,1800,13
WORCESTER,England and Wales,1800,11
YARMOUTH,England and Wales,1800,15
YORK,England and Wales,1800,16
ABERDEEN,Scotland,1800,27
DUNDEE,Scotland,1800,26
EDINBURGH,Scotland,1800,82
GLASGOW,Scotland,1800,77
GREENOCK,Scotland,1800,17
INVERNESS,Scotland,1800,15
PAISLEY,Scotland,1800,17
PERTH,Scotland,1800,15
BELFAST,Ireland,1800,24
CORK,Ireland,1800,75
DUBLIN,Ireland,1800,168
GALWAY,Ireland,1800,12
KILKENNY,Ireland,1800,16
LIMERICK,Ireland,1800,39
NEWRY,Ireland,1800,15
WATERFORD,Ireland,1800,20
ALKMAAR,The Netherlands,1800,8
AMSTERDAM,The Netherlands,1800,217
ARNHEM,The Netherlands,1800,10
DELFT,The Netherlands,1800,17
DORDRECHT,The Netherlands,1800,18
ENKHUIZEN,The Netherlands,1800,7
GOUDA,The Netherlands,1800,12
GRONINGEN,The Netherlands,1800,24
HAARLEM,The Netherlands,1800,21
DEN HAAG,The Netherlands,1800,38
'S HERTOGENBOSCH,The Netherlands,1800,13
HOORN,The Netherlands,1800,10
LEEUWARDEN,The Netherlands,1800,16
LEIDEN,The Netherlands,1800,31
MAASTRICHT,The Netherlands,1800,18
MIDDELBURG,The Netherlands,1800,20
NIJMEGEN,The Netherlands,1800,13
ROTTERDAM,The Netherlands,1800,57
UTRECHT,The Netherlands,1800,32
ZAANDAM,The Netherlands,1800,25
ZWOLLE,The Netherlands,1800,12
AALST,Belgium,1800,11
ANTWERPEN,Belgium,1800,60
BRUGGE,Belgium,1800,32
BRUSSELS,Belgium,1800,74
DUNKERQUE,Belgium,1800,21
GENT,Belgium,1800,51
IEPER,Belgium,1800,12
KORTRIJK,Belgium,1800,14
LEUVEN,Belgium,1800,21
LIEGE,Belgium,1800,55
LIER,Belgium,1800,11
LILLE,Belgium,1800,59
LOKEREN,Belgium,1800,11
MECHELEN,Belgium,1800,20
MONS,Belgium,1800,18
NAMUR,Belgium,1800,16
OOSTENDE,Belgium,1800,11
SINT NIKLAAS,Belgium,1800,11
TOURNAI,Belgium,1800,23
VALENCIENNES,Belgium,1800,17
AACHEN,Germany,1800,24
ALTONA,Germany,1800,23
ANSBACH,Germany,1800,12
AUGSBURG,Germany,1800,28
BAMBERG,Germany,1800,17
BARMEN,Germany,1800,13
BAUTZEN,Germany,1800,11
BERLIN,Germany,1800,150
BONN,Germany,1800,11
BRANDENBURG,Germany,1800,12
BRAUNSCHWEIG,Germany,1800,27
BREMEN,Germany,1800,36
BRESLAU (WROCLAW),Germany,1800,54
CHEMNITZ (K-MARX-ST),Germany,1800,11
DANZIG (GDANSK),Germany,1800,40
DRESDEN,Germany,1800,55
DUSSELDORF,Germany,1800,20
ELBERFELD,Germany,1800,10
ELBING (ELBLAG),Germany,1800,17
EMDEN,Germany,1800,12
ERFURT,Germany,1800,17
FLENSBURG,Germany,1800,13
FRANKFURT AM,Germany,1800,35
FRANKFURT AO,Germany,1800,12
FREIBURG,Germany,1800,9
FURTH,Germany,1800,12
GOTHA,Germany,1800,11
HALBERSTADT,Germany,1800,12
HALLE,Germany,1800,19
HAMBURG,Germany,1800,100
HANAU,Germany,1800,12
HANNOVER,Germany,1800,17
HEIDELBERG,Germany,1800,9
HILDESHEIM,Germany,1800,12
KASSEL,Germany,1800,18
KOLN,Germany,1800,42
KONIGSBERG,Germany,1800,59
LEIPZIG,Germany,1800,32
LUBECK,Germany,1800,23
LUNEBURG,Germany,1800,10
MAGDEBURG,Germany,1800,37
MAINZ,Germany,1800,22
MANNHEIM,Germany,1800,22
MUNCHEN,Germany,1800,34
MUNSTER,Germany,1800,14
NURNBERG,Germany,1800,27
POTSDAM,Germany,1800,27
QUEDLINBURG,Germany,1800,11
REGENSBURG,Germany,1800,23
ROSTOCK,Germany,1800,14
SOEST,Germany,1800,5
STETTIN (SZCZECIN),Germany,1800,23
STRALSUND,Germany,1800,11
STUTTGART,Germany,1800,20
ULM,Germany,1800,13
WURZBURG,Germany,1800,16
ABBEVILLE,France,1800,18
AGEN,France,1800,10
AIX EN PROVENCE,France,1800,19
ALBI,France,1800,10
ALENCON,France,1800,13
AMIENS,France,1800,36
ANGERS,France,1800,25
ANGOULEME,France,1800,14
ARLES,France,1800,20
ARRAS,France,1800,19
AUXERRE,France,1800,12
AVIGNON,France,1800,21
BAYEUX,France,1800,10
BAYONNE,France,1800,12
BEAUVAIS,France,1800,13
BESANCON,France,1800,24
BEZIERS,France,1800,14
BLOIS,France,1800,11
BORDEAUX,France,1800,88
BOULOGNE,France,1800,12
BOURGES,France,1800,18
BREST,France,1800,22
CAEN,France,1800,34
CAHORS,France,1800,10
CAMBRA!,France,1800,14
CARCASSONNE,France,1800,14
CASTRES,France,1800,13
CHALONS-SUR-MARNE,France,1800,11
CHALONS-SUR-SAONE,France,1800,11
CHARTRES,France,1800,12
CHERBOURG,France,1800,14
CLERMONT-FERRAND,France,1800,30
COLMAR,France,1800,13
DIEPPE,France,1800,17
DIJON,France,1800,22
DOUAI,France,1800,18
FALAISE,France,1800,10
GRENOBLE,France,1800,23
LA ROCHELLE,France,1800,18
LAVAL,France,1800,12
LE HAVRE,France,1800,19
LE MANS,France,1800,18
LE PUY,France,1800,12
LIMOGES,France,1800,16
LISIEUX,France,1800,11
LORIENT,France,1800,15
LYON,France,1800,100
MACON,France,1800,10
MARSEILLE,France,1800,78
METZ,France,1800,39
MONTAUBAN,France,1800,19
MONTPELLIER,France,1800,31
MOULINS,France,1800,13
NANCY,France,1800,29
NANTES,France,1800,74
NEVERS,France,1800,11
NIMES,France,1800,40
NIORT,France,1800,14
ORLEANS,France,1800,43
PARIS,France,1800,581
PERPIGNAN,France,1800,13
POITIERS,France,1800,20
REIMS,France,1800,31
RENNES,France,1800,28
RIOM,France,1800,13
ROCHEFORT,France,1800,15
ROUEN,France,1800,81
SAINT-ETIENNE,France,1800,18
SAINT-MALO,France,1800,17
SAINT-OMER,France,1800,20
SAINT-QUENTIN,France,1800,10
STRASBOURG,France,1800,48
TOULON,France,1800,32
TOULOUSE,France,1800,45
TOURS,France,1800,23
TROYES,France,1800,21
VERSAILLES,France,1800,27
VIENNE,France,1800,10
BASEL,Switzerland,1800,16
BERN,Switzerland,1800,11
GENEVE,Switzerland,1800,26
ZURICH,Switzerland,1800,10
ALESSANDRIA,Northern Italy,1800,19
ASTI,Northern Italy,1800,11
BERGAMO,Northern Italy,1800,24
BRESCIA,Northern Italy,1800,28
CHIOGGIA,Northern Italy,1800,19
COMO,Northern Italy,1800,14
CREMA,Northern Italy,1800,9
CREMONA,Northern Italy,1800,25
CUNEO,Northern Italy,1800,18
FOSSANO,Northern Italy,1800,14
GENOA,Northern Italy,1800,91
LODI,Northern Italy,1800,16
MANTUA,Northern Italy,1800,26
MILANO,Northern Italy,1800,135
MODENA,Northern Italy,1800,22
MONDOVI,Northern Italy,1800,18
MONZA,Northern Italy,1800,12
NICE,Northern Italy,1800,13
NOVARA,Northern Italy,1800,12
PADOVA,Northern Italy,1800,32
PARMA,Northern Italy,1800,34
PAVIA,Northern Italy,1800,24
PIACENZA,Northern Italy,1800,28
REGGIO,Northern Italy,1800,18
SAVIGLIANO,Northern Italy,1800,13
TREVISO,Northern Italy,1800,11
TRIESTE,Northern Italy,1800,24
TORINO,Northern Italy,1800,82
UDINE,Northern Italy,1800,16
VENEZIA,Northern Italy,1800,138
VERCELLI,Northern Italy,1800,13
VERONA,Northern Italy,1800,41
VICENZA,Northern Italy,1800,29
VIGEVANO,Northern Italy,1800,12
ANCONA,Central Italy,1800,15
BOLOGNA,Central Italy,1800,71
FERRARA,Central Italy,1800,30
FIRENZE,Central Italy,1800,81
LIVORNO,Central Italy,1800,53
LUCCA,Central Italy,1800,17
PERUGIA,Central Italy,1800,15
PISA,Central Italy,1800,15
ROMA,Central Italy,1800,163
SIENA,Central Italy,1800,16
VITERBO,Central Italy,1800,13
ACIREALE,Southern Italy,1800,15
ALTA MURA,Southern Italy,1800,18
BARI,Southern Italy,1800,18
CAGLIARI,Southern Italy,1800,18
CALTAGIRONE,Southern Italy,1800,20
CALTANISSETA,Southern Italy,1800,16
CASTEL VETRANO,Southern Italy,1800,15
CASTROGIOVANNI,Southern Italy,1800,11
CATANIA,Southern Italy,1800,45
FOGGIA,Southern Italy,1800,13
GIRGENTI,Southern Italy,1800,18
LECCE,Southern Italy,1800,20
MARSALA,Southern Italy,1800,21
MASCALI,Southern Italy,1800,14
MAZZARINO,Southern Italy,1800,11
MESSINA,Southern Italy,1800,44
MODICA/POZZALLO,Southern Italy,1800,20
MONOPOLI,Southern Italy,1800,17
NAPOLI,Southern Italy,1800,427
NICOSIA,Southern Italy,1800,12
NOTO,Southern Italy,1800,11
PALERMO,Southern Italy,1800,139
PIAZZA (ENNA),Southern Italy,1800,12
RAGUSA,Southern Italy,1800,17
REGGIO DI CALABRIA,Southern Italy,1800,NA
SASSARI,Southern Italy,1800,17
SIRACUSA,Southern Italy,1800,16
TARANTO,Southern Italy,1800,17
TERMINI,Southern Italy,1800,14
TRAPANI,Southern Italy,1800,25
ALCALA LA REAL,Spain,1800,12
ALCAZAR DE SAN JUAN,Spain,1800,10
ALICANTE,Spain,1800,13
ANDUJAR,Spain,1800,10
ANTEQUERA,Spain,1800,15
ARACENA,Spain,1800,10
AVILA,Spain,1800,0
BADAJOZ,Spain,1800,10
BAEZA,Spain,1800,10
BARCELONA,Spain,1800,115
BILBAO,Spain,1800,11
BURGOS,Spain,1800,9
CADIZ,Spain,1800,70
CARTAGENA,Spain,1800,33
CORDOBA,Spain,1800,40
CUENCA,Spain,1800,0
ECIJA,Spain,1800,28
GRANADA,Spain,1800,55
JAEN,Spain,1800,28
JEREZ DA LA FRONTERA,Spain,1800,35
LUCENA,Spain,1800,18
MADRID,Spain,1800,167
MALAGA,Spain,1800,36
MEDINA DEL CAMPO,Spain,1800,0
MEDINA DE RIOSECO,Spain,1800,0
MORON DE LA FRONTERA,Spain,1800,11
MURCIA,Spain,1800,40
OCANA,Spain,1800,6
ORIHUELA,Spain,1800,19
OSUNA,Spain,1800,14
PALENCIA,Spain,1800,10
PALMA,Spain,1800,29
RONDA,Spain,1800,15
SALAMANCA,Spain,1800,9
SANTIAGO,Spain,1800,25
SEGOVIA,Spain,1800,0
SEVILLA,Spain,1800,96
TOLEDO,Spain,1800,25
UBEDA,Spain,1800,14
UTRERA,Spain,1800,0
VALENCIA,Spain,1800,80
VALLADOLID,Spain,1800,21
ZARAGOZA,Spain,1800,40
COIMBRA,Portugal,1800,15
ELVAS,Portugal,1800,NA
EVORA,Portugal,1800,NA
LISBOA,Portugal,1800,180
PORTO,Portugal,1800,30
BRNO (BRUNN),Austria and Czechoslovakia,1800,23
GRAZ,Austria and Czechoslovakia,1800,31
INNSBRUCK,Austria and Czechoslovakia,1800,10
KLAGENFURT,Austria and Czechoslovakia,1800,10
LINZ,Austria and Czechoslovakia,1800,17
PRAHA,Austria and Czechoslovakia,1800,77
SALZBURG,Austria and Czechoslovakia,1800,11
WIEN,Austria and Czechoslovakia,1800,231
KRAKOW,Poland,1800,24
POZNAN,Poland,1800,16
WARSZAWA,Poland,1800,63
